Id;user;created_at;text;géo;location;Followers;source
1396776507742343169;Khalid🗿;2021-05-24 10:34:04;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;jupiter ;1323;Twitter for Android
1396776502662893570;bimal Kumar;2021-05-24 10:34:03;RT @blsanthosh: Central Govt is putting its best foot forward to enhance production . They have already told how this will be phased . Raw…;;Guwahati, India;5998;Twitter for Android
1396776489652260865;VIVI_PLACE | Follow back 🔙;2021-05-24 10:34:00;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;203;Twitter for Android
1396776489274720258;Taz 🇵🇸;2021-05-24 10:34:00;A man followed me on foot from Strand street all the way to upper Bloem street in town. He wore a noisy jacket so I… https://t.co/QakYRpGUid;;Cape Town, South Africa.;1566;Twitter for Android
1396776489044033537;Owaen;2021-05-24 10:34:00;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;612;Twitter for Android
1396776479002857473;James R. Gretz;2021-05-24 10:33:58;#OrdinaryTime Well, not yet. Today we celebrate the memorial of Mary, Mother of the Church. She was at the foot of… https://t.co/3lEsaqG9VD;;Pittsburgh, PA;452;Twitter for iPhone
1396776475156787204;Ebony;2021-05-24 10:33:57;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;🇳🇬;432;Twitter for Android
1396776457226096642;blckgirlmuse;2021-05-24 10:33:52;No plan, just one foot in front of the other. Me and God. Literally. Calling me crazy is an understatement. Blessed… https://t.co/lftabgMnbn;;;8;Twitter for iPhone
1396776456596959240;Izzy Nic;2021-05-24 10:33:52;@RichLido Does that mean I have to foot part of the bill? I’d rather dig oils 😜;;;399;Twitter for iPhone
1396776447990173703;Paing Zay Yair Yint;2021-05-24 10:33:50;`RT @ppkx26: Locals staged foot protest with anti-military slogans written in Amarapura Township, Mandalay today, May 24.
#May24Coup
#WhatsH…`;;United States;221;Twitter for Android
1396776428100849664;Noor Bint Shamweel Shithu 🦋👩🏻‍🍳✍🏻;2021-05-24 10:33:45;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;962;Twitter for iPhone
1396776426502860800;Small Daddy;2021-05-24 10:33:45;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Unknown;23623;Twitter for Android
1396776413689090049;fikrete veliu;2021-05-24 10:33:42;RT @Independent_ie: Sinéad O’Connor: ‘They gave me a foot up the arse, but they loved me into good health’ https://t.co/HvzhNoMf9R;;;3;Twitter Web App
1396776412359573513;Anjata Gabriel Lorca 🐱❤️🖖;2021-05-24 10:33:42;`@ValeSilingardi good to hear that you new knee band help for you ! I've support for my foot too 
But be careful, li… https://t.co/UtVlcAefKN`;;Belgique;695;Twitter Web App
1396776404411367424;Svend Karlsen;2021-05-24 10:33:40;Google estimates 2 days and 5 hours by foot. Shoes ready, Geir? https://t.co/m6NxxnE34u;;Fredrikstad / Leeds;10459;Twitter for iPhone
1396776399822852098;Kenny;2021-05-24 10:33:39;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;1024;Twitter for iPhone
1396776399470485510;SC ABBEVILLE;2021-05-24 10:33:39;RT @yanmae: #foot #football #HappyBirthday 🎂 Joyeux Anniversaire Philippe Fluckinger 🇫🇷 (5⃣8⃣ ans) ex gardien de but du SO Merlebach, @RCSA…;;Abbeville, France;299;Twitter for iPhone
1396776397616685056;Raf (elusive2.0);2021-05-24 10:33:38;@sherryabbasi93 For myself Sherry, Wilder will try implementing the new tactics he has been working on with Malik S… https://t.co/mIeBcYRVps;;United Kingdom;232;Twitter for iPhone
1396776393745342467;NBA ID😭😭;2021-05-24 10:33:37;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Abuja, Nigeria;2903;Twitter for Android
1396776382139600901;Olamide_Adedeji;2021-05-24 10:33:35;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos, Nigeria;659;Twitter for Android
1396776373272731653;keqduobm;2021-05-24 10:33:32;RT @jeonghyoland: bdz era jeongyeon in this outfit... the foot she had on our necks https://t.co/yW3fxbrf2h;;Jeongyeon Best Girl;294;Twitter for iPhone
1396776339773038603;Nwa Monye;2021-05-24 10:33:24;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos, Nigeria;1381;Twitter for Android
1396776334962139136;Ramesses 👑;2021-05-24 10:33:23;`Ramos will regret those useless 3 minutes he played in that meaningless game
It could damage the rest of his career… https://t.co/8dVrmuhTDy`;;Everywhere and Nowhere ;3718;Twitter for Android
1396776332361703431;MAJOR🧢;2021-05-24 10:33:23;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Abuja, Nigeria;5900;Twitter for Android
1396776320814702592;The +18 Justin;2021-05-24 10:33:20;My 12 foot BBW Goddess :3 https://t.co/DqCFmCjE77;;;67;Twitter for iPhone
1396776315810942985;kofi Yesu;2021-05-24 10:33:19;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Suhum, Ghana;3260;Twitter for iPhone
1396776307564814341;கொடி..🖤♥️;2021-05-24 10:33:17;RT @ividhyac: The summary of the mail is “Empathy my foot. You better don’t damage my moms name further”. It’s in the best interest of the…;;;1217;Twitter for Android
1396776271514849281;Jideako;2021-05-24 10:33:08;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos, Nigeria;3853;Twitter for iPhone
1396776270298558465;民;2021-05-24 10:33:08;how on earth do some of u have feet kinks. i have to draw a clothed foot and i feel like a degenerate bastard, i ha… https://t.co/3RMzfzUvej;;he/him;19;Twitter for iPhone
1396776265869299726;Abimbola;2021-05-24 10:33:07;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Planet Earth;590;Twitter for iPhone
1396776259481337860;ADV SHRUTI DESAI 🇮🇳;2021-05-24 10:33:05;RT @AdvShrutidesai: Entire conspiracy is against #Hydroxycloroquine which is cheap and Bill wants us to foot Bills of expensive medicine of…;;India;9547;Twitter for Android
1396776257484951555;IG;2021-05-24 10:33:05;`Charting the Markets: 24 May 
- Indices have begun the week on the front foot, making gains after an indecisive end… https://t.co/JEU0vNtFMg`;;;31272;Salesforce - Social Studio
1396776221321547778;Amit Kharkhari;2021-05-24 10:32:56;RT @blsanthosh: Central Govt is putting its best foot forward to enhance production . They have already told how this will be phased . Raw…;;Najafgarh;13555;Twitter for Android
1396776219941773361;PiggyBoy;2021-05-24 10:32:56;Goddesses! Ihave £75 sat in my account that I want to give to the domme with the prettiest feet and best foot Humil… https://t.co/w3JuRCUXWz;;;26;Twitter for iPhone
1396776184571211778;Lucidboy ✨;2021-05-24 10:32:47;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Dreamville;2167;Twitter for Android
1396776170755035136;Butter💦;2021-05-24 10:32:44;`RT @ARTSEOULVK: — 

“Taehyung, no!” Tae jumped across a river towards the other side, but he was about to run again when Bogum shouted. 

“…`;;;46;Twitter for Android
1396776166615302150;𝕬𝖉𝖊𝖉𝖔𝖑𝖆𝖕𝖔💜;2021-05-24 10:32:43;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Ibadan, abuja Nigeria;94;Twitter for iPhone
1396776165734498304;Cllr. Anthony Flynn;2021-05-24 10:32:43;Massive foot in the mouth here. Effectively saying of your not rich your not entitled to have a family. https://t.co/NZLtaJ1PCy;;Dublin City, Ireland;13628;Twitter for iPhone
1396776164002250759;Lade;2021-05-24 10:32:43;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos and Ibadan;3790;Twitter for iPhone
1396776159505829891;Satish Srivastava;2021-05-24 10:32:41;`@kunalkamra88 ...and you know Kunal?, you are a different shit everyday!!
I don't know what kind of comedy are u do… https://t.co/nrNjAJifng`;;Lucknow, India;9;Twitter for Android
1396776142359703554;Fèlix;2021-05-24 10:32:37;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;169;Twitter for Android
1396776140040286214;Achalugo;2021-05-24 10:32:37;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;In my element;887;Twitter for iPhone
1396776139368980485;KJAS #KHive #BidenHarris2020;2021-05-24 10:32:37;RT @LynnRooks4: @funder The election has been settled.  The GOP should have to foot the bills for all of these farces of audits, not the ta…;;Colorado, USA;154;Twitter for Android
1396776136961531916;✨~•𝔾𝕠𝕕𝕕𝕖𝕤𝕤•𝔸𝕝𝕚𝕔𝕖•~✨;2021-05-24 10:32:36;`RT @fire_foxbbw: Whilst I soak I suggest you send. 
Humanatm paypig sissyboy simp humiliation finsub goddess cashcow beta cuck whalesub fin…`;;;355;Twitter for iPhone
1396776136504496132;JerseyNation;2021-05-24 10:32:36;`RT @SkingiftN: MediHeal Paraffin foot mask and Malie Exfoliating Foot mask both contains paraffin, urea, Shea butter &amp; collagen for that ex…`;;;1240;Twitter for iPhone
1396776135279714308;Knicks Dude;2021-05-24 10:32:36;RT @IanBegley: Trae Young: "Obviously, Frank's a good defender. If you play with the ball too much, he can poke at it, things like that. A…;;;3102;Twitter for iPhone
1396776129579606017;Deborah Joshua;2021-05-24 10:32:34;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;839;Twitter for Android
1396776109614764034;The Dictator;2021-05-24 10:32:30;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Abuja, Nigeria;13021;Twitter for Android
1396776099527471105;pablosj;2021-05-24 10:32:27;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;45;Twitter for Android
1396776072654385156;SSMB DHFMB💥💥💥;2021-05-24 10:32:21;RT @DDhfms: Once @urstrulyMahesh enters inka seppukodaniki a record migaladhu. All will b under his foot #SarkaruVaariPaata #MaheshBabu #SS…;;;175;Twitter for Android
1396776060440690693;Natalie Bruce;2021-05-24 10:32:18;@yupphire @EthoLP @BdoubleO100 Love that you made 'lil BDubs look at least a foot smaller than Etho!  🤣🤣;;England;77;Twitter Web App
1396776058968489984;✗pappie✗®;2021-05-24 10:32:17;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Somewhere in the world ;10137;Twitter for iPhone
1396776048184942595;Don Wiggla;2021-05-24 10:32:15;Dropped a pallet on my foot 🤦🏾‍♂️;;;183;Twitter for iPhone
1396776046092029953;Hoss;2021-05-24 10:32:14;@TheRealBuzz Hello Mr. Aldrin! It is my dream to step foot on the moon like you did with Neil. I would love a good… https://t.co/wZNcC1j8ec;;;0;Twitter for iPhone
1396776042220638211;Demberu Selam;2021-05-24 10:32:13;RT @GebrekirstosG: Eritreans troops were supposed to leave Tigray, but on May 8 they committed a massacre at a village at the foot of the f…;;;139;Twitter for iPhone
1396776037661519873;Aleksandra Łojek;2021-05-24 10:32:12;@Translink_NI Josephs, Aquinas, Forge Integrated and so on walking on foot along Ravenhill Road today in the mornin… https://t.co/67S5QzVAhs;;Belfast;270;Twitter Web App
1396776033639014403;Paddy Sweeney;2021-05-24 10:32:11;`RT @9NewsPerth: Dockers captain Nat Fyfe is fighting an ongoing left foot injury.
The star midfielder sounding out medical professionals as…`;;Western Australia, Australia;2434;Twitter for iPhone
1396776017981739008;Amjad Ali Dadda;2021-05-24 10:32:08;RT @mashable: It took around 45 hours of 3D printing to build this 1,076 square-foot house https://t.co/ryZrywaeQR;;Pakistan ;1642;Twitter for Android
1396775997727518720;M A R Q U O S A R H🇬🇭🇩🇪;2021-05-24 10:32:03;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Earth;3116;Twitter for iPhone
1396775983793979394;Olusola Oyelami;2021-05-24 10:32:00;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Citizen of the World;2431;Twitter for iPhone
1396775982971957250;🦅REAL UTHY🎃🤞✌🦅;2021-05-24 10:31:59;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Good place.;2662;Twitter for Android
1396775979385769988;Dark Chocolate Goodness 🍫🖤;2021-05-24 10:31:58;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lagos, Nigeria;3945;Twitter for iPhone
1396775973476052992;NUGEN Audio;2021-05-24 10:31:57;RT @SallyOgdenTV: This is a paid placement we are especially looking to help someone in to the industry from a  background where it’s much…;;UK;4274;Twitter Web App
1396775966941319174;David Parker;2021-05-24 10:31:56;RT @JoJosephinek: @Tony_Devenish @team_greenhalgh @FelicityBuchan @MayorofLondon Huh? So are you saying Leaseholders SHOULD have to foot th…;;;697;Twitter for Android
1396775966282813440;iStandWithTigray;2021-05-24 10:31:55;"They shot 21 people in total and 19 of them died, two survived but in severely wounded condition. Seven of the kil… https://t.co/6ePXziS5cO;;;446;Twitter for Android
1396775966123384835;Hielke Van Doorslaer;2021-05-24 10:31:55;Great @MESandbu reply to fearmongering about 'coming inflation': "If demand pressure itself creates new supply capa… https://t.co/uYd8ZeskhE;;;366;Twitter Web App
1396775957659271172;Liz Haines;2021-05-24 10:31:53;I agree with all the points in @DavidButler34 blog. Livestock was certainly the most (only) capital efficient way f… https://t.co/KJcEfiSS9z;;Stafford, England;2034;Twitter for iPhone
1396775940684800002;CHIRAG VERMA;2021-05-24 10:31:49;RT @MohammadKaif: Disheartening to see the disparity among cricketing nations.If we want cricket to grow, we will need to bridge this gap.…;;Gorakhpur, India;42;Twitter for Android
1396775940324171778;Ravi;2021-05-24 10:31:49;`RT @BharatTemples_: He Became Scholar of Vedas at age of 7.
Left Home At the age of 8.
Finished all Writings at the Age of 16.

Travelled a…`;;;4;Twitter for Android
1396775929972678656;william noonan;2021-05-24 10:31:47;`On this day....
May 24,
1956, The 1931 American LaFrance City Service ladder truck assigned to Ladder Co. 25 was re… https://t.co/LFE61UoawO`;;metro boston area;5814;Twitter Web App
1396775927066017793;Jonatan Pallesen;2021-05-24 10:31:46;@LinchZhang Ok. In Denmark I people rarely set foot in a hospital. We would need some numbers for China;;Copenhagen, Denmark;5572;Twitter for iPhone
1396775906283241473;Mimi Nicole;2021-05-24 10:31:41;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;surulere,Lagos Nigeria.;1203;Twitter for Android
1396775897903075330;Sonia;2021-05-24 10:31:39;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Abuja, Nigeria;1369;Twitter for Android
1396775860900925455;Lindsay Bell;2021-05-24 10:31:30;`RT @AlanEnglish9: Here's the Sinéad O'Connor interview  from today's People &amp; Culture section. It's the first Irish or UK interview with he…`;;Moncton, New Brunswick;3379;Twitter Web App
1396775854903021575;Adepeju ❤💡;2021-05-24 10:31:29;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Ibadan, Nigeria;867;Twitter for Android
1396775849987297284;Tesfaalem;2021-05-24 10:31:28;`A massacre in Abuna Yemata Guh, at the foot of the famous rock-hewn church 
#TigrayGenocide #TigrayCantWait… https://t.co/O1QI7pk4av`;;Israel;1207;Twitter Web App
1396775827572891652;#craigmedal ®;2021-05-24 10:31:22;`RT @9NewsPerth: Dockers captain Nat Fyfe is fighting an ongoing left foot injury.
The star midfielder sounding out medical professionals as…`;;Fremantle, Perth (WA);767;Twitter for Android
1396775808539054081;Surappa;2021-05-24 10:31:18;RT @blsanthosh: Central Govt is putting its best foot forward to enhance production . They have already told how this will be phased . Raw…;;Bengaluru, India;247;Twitter for Android
1396775808228806662;black_cat46;2021-05-24 10:31:18;RT @mashable: It took around 45 hours of 3D printing to build this 1,076 square-foot house https://t.co/ryZrywaeQR;;Let Me Off Uptown;4199;Twitter for iPhone
1396775797042696193;psalmbatplayfilms⚪;2021-05-24 10:31:15;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Nageria;237;Twitter for Android
1396775796727894021;vidulaJ;2021-05-24 10:31:15;Tomorrow is the salary day! I want to go to an ATM to withdraw some money before 'WALKING' to the 'NEAREST GROCERY'… https://t.co/ItIZ0slCF0;;Galle, Sri Lanka;728;Twitter Web App
1396775794119151616;😉😉Hard KASS 😍😎;2021-05-24 10:31:14;RT @qataharraymond: In body language news, the army MP's only foot tapped for Jacob Oulanyah.;;Kawempe Republic ;4020;Twitter for Android
1396775792672190464;Moejohno💙💙💙🇮🇪🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺;2021-05-24 10:31:14;RT @_JD_Black: Starmer lobbied for nine foot high gates to keep us plebs out of Primrose Hill so wealthy residents can have exclusive acces…;;North West, England;1545;Twitter for iPad
1396775790134636545;Alsager School;2021-05-24 10:31:13;RT @lenziegeo: Time for some #geogglebox 🤓📺 Lots of places being explored this week by train🚂, boat⛴️, rocket🚀 and by foot🚶#StaySafe JC htt…;;Alsager;1831;Twitter Web App
1396775782060597249;Dave!;2021-05-24 10:31:11;Like, no spoilers, but ARMY OF THE DEAD shoots itself in the foot before aiming at the other foot and firing again… https://t.co/W8j7qoE0eD;;Dublin City, Ireland;64;Twitter for iPad
1396775779409829889;Pet Chameleons;2021-05-24 10:31:11;The toes in each fascicle are bound into a flattened group of either two or three, giving each foot a tongs-like appearance.;;United States;5803;Twitter Web App
1396775769863426052;s;2021-05-24 10:31:09;`RT @LiteraryVienna: “Set the foot down with distrust on the crust of the world - it is thin.”

Edna St. Vincent Millay https://t.co/iF8KmOF…`;;;17;Twitter Web App
1396775769804771329;Pellonlad;2021-05-24 10:31:09;@TheOwlPoetic @ZilliqaInvestor @zilliqa @junhaotan_ That’s no boom. The price of Gzil will be much higher than that… https://t.co/SYoHJNeD5o;;Mount Tabor, England;51;Twitter for iPhone
1396775756425011204;SimonQx;2021-05-24 10:31:05;@BrookerTJustice @ksorbs Wow! You must have 10 foot arms to reach for that one;;Florida, USA;95;Twitter Web App
1396775748334235656;duck fan account;2021-05-24 10:31:03;RT @MyHandsRatedE: Such a dangerous swing form. Poor guy almost lost his foot;;;829;Twitter for iPhone
1396775739245088769;Jake👹;2021-05-24 10:31:01;RT @BocaMags: MOM Oliver’s second freekick goal… what a strike! The lad was on fire today @StHRHJFL cup semi. Got us on the front foot, alw…;;Manchester, England;68;Twitter for iPhone
1396775723931627523;Ved;2021-05-24 10:30:58;RT @ividhyac: The summary of the mail is “Empathy my foot. You better don’t damage my moms name further”. It’s in the best interest of the…;;chennai ;345;Twitter for Android
1396775710199468034;Peter Lo;2021-05-24 10:30:54;@HeresMono @SalmonPoison No, you leave foot prints outside and the nightmares can find you;;;10;Twitter for Android
1396775706382700544;HUTS & BRICKS;2021-05-24 10:30:53;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Benin-City, Nigeria;1520;Twitter for iPhone
1396775705267081216;El'Rapha;2021-05-24 10:30:53;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Lekki, Nigeria;2338;Twitter for Android
1396775704704913410;Ashish;2021-05-24 10:30:53;RT @blsanthosh: Central Govt is putting its best foot forward to enhance production . They have already told how this will be phased . Raw…;;;516;Twitter for Android
1396775703920656389;Mmasichukwu;2021-05-24 10:30:53;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;Earth;2486;Twitter for Android
1396775677538586642;Chad Jason;2021-05-24 10:30:47;Good enough song to post it 🤷‍♂️Thousand Foot Krutch- The River(lyrics) https://t.co/zZqLfpjMdI via @YouTube;;Osage Beach, Mo;70;Twitter Web App
1396775658504794112;Bookish by Lima;2021-05-24 10:30:42;`RT @aproko_doctor: If you have parents with diabetes, they should NOT WALK BAREFOOT EVEN INSIDE THEIR HOMES

Diabetes affects nerves in the…`;;;1;Twitter for Android
1396775641450754051;Niamh Shields;2021-05-24 10:30:38;One thing I have somehow neglected to mention is how I am always relentlessly putting my foot in it too. Impulsivit… https://t.co/zJOBBkVK1o;;London via Ireland;47969;Twitter Web App
